Date,Open,High,Low,Close,Volume
1996-01-04,891.37,891.37,884.1,889.67,0.0
1996-01-05,887.79,887.79,881.74,884.73,0.0
1996-01-08,883.64,883.64,868.44,869.7,0.0
1996-01-09,864.84,870.71,856.77,869.12,0.0
1996-01-10,863.86,869.01,863.8,863.8,0.0
1996-01-11,862.62,873.72,861.97,873.27,0.0
1996-01-12,875.11,877.6,872.1,875.15,0.0
1996-01-15,878.74,878.74,870.98,871.32,0.0
1996-01-16,871.29,871.29,866.64,868.52,0.0
1996-01-17,866.0,866.0,857.11,857.11,0.0
1996-01-18,853.28,853.28,841.79,848.83,0.0
1996-01-19,846.66,847.17,840.18,843.99,0.0
1996-01-22,844.83,847.12,844.04,844.31,0.0
1996-01-23,846.05,846.05,830.83,832.9,0.0
1996-01-24,831.17,831.17,816.0,818.69,0.0
1996-01-25,819.56,819.56,814.34,814.92,0.0
1996-01-29,813.12,832.23,813.12,830.88,0.0
1996-01-30,836.14,848.13,836.14,846.57,0.0
1996-01-31,843.19,852.75,843.19,848.42,0.0
1996-02-01,848.28,869.54,848.28,869.54,0.0
1996-02-02,878.5,919.82,878.5,918.31,0.0
1996-02-05,933.14,949.16,927.65,943.08,0.0
1996-02-06,943.75,947.89,919.99,925.71,0.0
1996-02-07,918.97,932.02,913.22,932.02,0.0
1996-02-08,936.72,983.25,936.72,980.27,0.0
1996-02-09,1001.85,1033.02,980.27,1033.02,0.0
1996-02-12,1032.47,1045.81,1018.51,1018.51,0.0
1996-02-13,1019.69,1030.3,1006.28,1027.36,0.0
1996-02-14,1040.91,1067.49,1040.91,1051.99,0.0
1996-02-15,1048.14,1053.19,1042.36,1046.24,0.0
1996-02-16,1040.84,1040.84,1020.46,1023.08,0.0
1996-02-19,1027.2,1028.26,1019.93,1021.38,0.0
1996-02-20,1021.08,1021.08,999.93,1000.13,0.0
1996-02-22,1006.84,1025.44,1006.84,1024.91,0.0
1996-02-23,1025.36,1029.64,1019.45,1028.84,0.0
1996-02-26,1035.02,1045.15,1034.52,1034.73,0.0
1996-02-27,1034.28,1034.28,1024.65,1027.45,0.0
1996-02-28,1034.49,1037.53,1027.39,1027.39,0.0
1996-02-29,1024.14,1024.14,992.48,992.51,0.0
1996-03-01,994.66,1002.19,989.78,999.47,0.0
1996-03-04,1000.58,1002.41,996.51,998.84,0.0
1996-03-06,999.67,1003.72,997.86,1002.91,0.0
1996-03-07,1005.06,1010.5,998.45,998.45,0.0
1996-03-08,993.93,993.93,981.6,988.62,0.0
1996-03-11,981.16,981.16,966.28,975.26,0.0
1996-03-12,974.71,976.46,969.15,976.22,0.0
1996-03-13,973.75,992.54,972.77,992.14,0.0
1996-03-14,993.72,1002.68,990.41,991.14,0.0
1996-03-15,989.55,989.98,981.67,981.87,0.0
1996-03-18,977.71,977.71,961.37,962.09,0.0
1996-03-19,961.12,964.08,945.07,947.09,0.0
1996-03-21,957.88,967.75,957.88,965.57,0.0
1996-03-22,962.34,962.34,950.07,956.11,0.0
1996-03-25,956.89,957.19,952.25,953.98,0.0
1996-03-26,952.87,958.58,949.28,957.14,0.0
1996-03-27,965.84,975.6,965.84,974.17,0.0
1996-03-28,976.91,997.32,976.91,997.32,0.0
1996-03-29,998.16,998.16,985.3,985.3,0.0
1996-04-01,988.33,995.01,988.33,994.8,0.0
1996-04-02,996.07,1005.68,996.07,1003.28,0.0
1996-04-03,1013.41,1019.09,1012.79,1013.47,0.0
1996-04-04,1012.29,1012.29,1000.9,1010.94,0.0
1996-04-08,1024.4,1034.72,1024.4,1032.13,0.0
1996-04-09,1035.61,1041.05,1028.78,1029.07,0.0
1996-04-10,1030.57,1035.79,1027.07,1029.28,0.0
1996-04-11,1024.37,1026.52,1022.31,1025.18,0.0
1996-04-12,1023.84,1033.17,1023.84,1032.19,0.0
1996-04-15,1038.03,1050.48,1038.03,1046.45,0.0
1996-04-16,1046.8,1060.85,1046.8,1058.71,0.0
1996-04-17,1067.93,1096.28,1067.93,1096.28,0.0
1996-04-18,1107.76,1124.93,1107.76,1121.68,0.0
1996-04-19,1124.3,1142.26,1124.3,1131.74,0.0
1996-04-22,1136.28,1136.28,1102.83,1106.93,0.0
1996-04-23,1090.04,1100.51,1090.04,1095.82,0.0
1996-04-24,1136.97,1145.11,1126.77,1145.11,0.0
1996-04-25,1157.94,1160.16,1110.61,1120.82,0.0
1996-04-26,1133.17,1133.17,1106.29,1123.63,0.0
1996-04-29,1112.7,1118.69,1107.51,1118.37,0.0
1996-04-30,1118.1,1118.23,1112.44,1114.36,0.0
1996-05-01,1141.65,1141.65,1133.92,1137.86,0.0
1996-05-02,1131.96,1132.05,1123.15,1132.05,0.0
1996-05-03,1126.08,1127.99,1119.34,1119.48,0.0
1996-05-06,1108.0,1108.0,1087.86,1088.22,0.0
1996-05-07,1086.66,1094.97,1086.66,1093.09,0.0
1996-05-08,1082.78,1113.62,1075.94,1108.53,0.0
1996-05-09,1101.41,1107.41,1089.87,1090.53,0.0
1996-05-10,1076.97,1080.91,1063.75,1078.63,0.0
1996-05-13,1081.68,1090.16,1080.68,1088.1,0.0
1996-05-14,1087.94,1107.44,1085.85,1105.47,0.0
1996-05-15,1107.0,1117.41,1095.67,1115.97,0.0
1996-05-16,1128.45,1141.64,1126.29,1128.59,0.0
1996-05-17,1122.42,1122.42,1113.59,1115.54,0.0
1996-05-20,1094.6,1094.6,1083.56,1083.67,0.0
1996-05-21,1077.18,1082.52,1074.19,1074.86,0.0
1996-05-22,1082.25,1086.07,1079.61,1081.13,0.0
1996-05-23,1079.89,1079.89,1073.76,1076.71,0.0
1996-05-24,1079.77,1087.77,1077.87,1085.03,0.0
1996-05-27,1080.55,1080.55,1065.29,1065.29,0.0
1996-05-28,1054.62,1065.61,1046.95,1063.36,0.0
1996-05-29,1074.23,1100.59,1074.23,1096.76,0.0
1996-05-30,1095.86,1095.86,1082.58,1082.84,0.0
1996-05-31,1086.46,1089.92,1083.73,1089.92,0.0
1996-06-03,1098.18,1109.99,1098.18,1108.87,0.0
1996-06-04,1114.55,1118.13,1104.32,1105.64,0.0
1996-06-05,1108.78,1115.06,1104.45,1113.14,0.0
1996-06-06,1129.17,1132.62,1127.52,1129.82,0.0
1996-06-07,1126.39,1134.86,1126.39,1133.44,0.0
1996-06-10,1136.86,1144.15,1136.86,1141.35,0.0
1996-06-11,1137.74,1145.68,1136.77,1143.06,0.0
1996-06-12,1164.83,1171.01,1163.58,1163.87,0.0
1996-06-13,1166.37,1172.34,1164.66,1168.4,0.0
1996-06-14,1169.26,1198.35,1169.26,1196.06,0.0
1996-06-17,1202.58,1203.11,1184.36,1185.37,0.0
1996-06-18,1176.48,1184.18,1173.66,1181.95,0.0
1996-06-19,1180.78,1190.03,1163.46,1168.03,0.0
1996-06-20,1163.68,1170.54,1150.4,1169.48,0.0
1996-06-21,1168.72,1170.01,1155.56,1157.42,0.0
1996-06-24,1157.92,1159.92,1138.88,1146.78,0.0
1996-06-25,1147.28,1154.22,1123.79,1127.78,0.0
1996-06-26,1127.43,1134.43,1116.96,1119.85,0.0
1996-06-27,1119.0,1130.0,1107.0,1127.0,0.0
1996-06-28,1128.0,1136.0,1119.0,1122.0,0.0
1996-07-01,1121.0,1121.0,1105.0,1109.0,0.0
1996-07-02,1109.0,1111.0,1098.0,1100.0,0.0
1996-07-03,1100.0,1100.0,1076.0,1080.0,0.0
1996-07-04,1080.0,1099.0,1056.0,1088.0,0.0
1996-07-05,1089.0,1104.0,1088.0,1093.0,0.0
1996-07-08,1095.08,1106.36,1095.08,1103.47,0.0
1996-07-09,1104.01,1104.13,1082.41,1088.76,0.0
1996-07-10,1083.49,1093.27,1072.48,1086.62,0.0
1996-07-11,1089.45,1103.19,1089.45,1097.44,0.0
1996-07-12,1096.85,1099.2,1086.07,1089.35,0.0
1996-07-15,1089.0,1098.35,1081.22,1093.38,0.0
1996-07-16,1100.14,1105.94,1076.92,1083.47,0.0
1996-07-17,1087.07,1117.95,1087.07,1108.58,0.0
1996-07-18,1109.17,1126.14,1109.17,1118.68,0.0
1996-07-19,1118.92,1126.71,1112.35,1119.27,0.0
1996-07-22,1125.81,1127.13,1115.06,1121.37,0.0
1996-07-23,1125.15,1127.08,1086.28,1092.14,0.0
1996-07-24,1090.74,1090.74,1049.88,1069.43,0.0
1996-07-25,1069.27,1075.79,1060.6,1062.68,0.0
1996-07-26,1062.04,1066.12,1046.46,1051.24,0.0
1996-07-29,1054.51,1057.84,1030.87,1033.97,0.0
1996-07-30,1031.01,1031.01,999.03,1014.91,0.0
1996-07-31,1017.06,1047.04,1004.76,1042.81,0.0
1996-08-01,1047.47,1054.08,1035.3,1036.63,0.0
1996-08-02,1036.34,1036.48,1024.8,1032.94,0.0
1996-08-05,1035.73,1038.2,1030.34,1032.29,0.0
1996-08-06,1031.8,1038.04,1023.73,1035.51,0.0
1996-08-07,1036.59,1050.54,1033.52,1048.59,0.0
1996-08-08,1050.43,1054.29,1037.94,1039.24,0.0
1996-08-09,1038.76,1042.25,1033.46,1037.91,0.0
1996-08-12,1038.11,1039.93,1030.4,1032.17,0.0
1996-08-13,1031.05,1031.05,1021.67,1024.43,0.0
1996-08-14,1021.18,1027.95,1017.43,1018.48,0.0
1996-08-16,1018.28,1019.64,1001.35,1002.25,0.0
1996-08-19,1001.19,1001.19,972.96,975.66,0.0
1996-08-20,973.13,980.78,968.76,977.34,0.0
1996-08-21,980.23,1001.84,980.23,999.19,0.0
1996-08-22,1001.45,1010.4,999.85,1002.17,0.0
1996-08-23,1001.38,1014.78,1000.49,1012.71,0.0
1996-08-26,1011.12,1016.63,1007.25,1009.04,0.0
1996-08-27,1009.9,1016.59,1006.02,1014.68,0.0
1996-08-28,1015.01,1029.49,1015.01,1027.09,0.0
1996-08-29,1028.7,1035.59,1024.67,1025.86,0.0
1996-08-30,1025.91,1029.89,1023.44,1029.0,0.0
1996-09-02,1028.91,1039.98,1028.91,1036.95,0.0
1996-09-03,1039.84,1046.51,1017.46,1023.27,0.0
1996-09-04,1022.37,1028.26,1012.15,1026.41,0.0
1996-09-05,1028.06,1038.31,1028.06,1037.47,0.0
1996-09-06,1038.04,1038.79,1029.96,1032.09,0.0
1996-09-09,1030.42,1031.22,1012.34,1013.88,0.0
1996-09-10,1014.87,1014.87,996.75,1001.15,0.0
1996-09-11,1001.86,1008.79,989.71,991.34,0.0
1996-09-12,990.88,992.68,981.01,989.28,0.0
1996-09-13,991.65,991.86,979.8,980.72,0.0
1996-09-16,980.69,980.69,959.65,962.27,0.0
1996-09-17,965.02,975.19,962.93,971.21,0.0
1996-09-18,972.73,996.97,969.67,994.43,0.0
1996-09-19,996.41,1001.25,975.85,977.76,0.0
1996-09-20,979.14,984.45,973.09,977.03,0.0
1996-09-23,976.08,976.08,963.19,968.84,0.0
1996-09-24,968.78,972.74,965.69,968.91,0.0
1996-09-25,967.98,981.75,967.98,971.29,0.0
1996-09-26,970.76,970.89,955.6,959.31,0.0
1996-09-27,958.79,958.83,942.05,947.23,0.0
1996-09-30,945.68,948.41,932.27,943.96,0.0
1996-10-01,944.51,945.66,933.56,936.27,0.0
1996-10-03,937.16,943.38,921.18,924.92,0.0
1996-10-04,924.93,925.93,898.47,904.12,0.0
1996-10-07,905.76,905.76,859.65,874.0,0.0
1996-10-08,872.57,876.78,850.52,873.9,0.0
1996-10-09,873.18,875.85,859.35,874.72,0.0
1996-10-10,874.2,900.53,872.83,898.42,0.0
1996-10-11,900.11,915.59,897.6,908.79,0.0
1996-10-14,907.26,907.26,890.71,892.05,0.0
1996-10-15,892.07,902.74,885.23,897.77,0.0
1996-10-16,896.63,905.11,891.16,892.77,0.0
1996-10-17,891.42,893.33,880.76,892.07,0.0
1996-10-18,892.61,899.51,888.61,895.0,0.0
1996-10-22,896.87,924.83,896.87,919.09,0.0
1996-10-23,924.2,953.44,924.2,951.29,0.0
1996-10-24,953.48,956.45,928.45,932.77,0.0
1996-10-25,929.42,939.73,929.42,936.95,0.0
1996-10-28,936.84,948.37,934.64,935.89,0.0
1996-10-29,936.78,936.78,922.89,926.39,0.0
1996-10-31,927.31,927.31,897.23,909.29,0.0
1996-11-01,910.32,915.39,904.95,906.68,0.0
1996-11-04,906.56,906.56,886.68,890.13,0.0
1996-11-05,890.19,894.4,878.29,881.57,0.0
1996-11-06,879.81,880.15,851.77,866.57,0.0
1996-11-07,867.24,876.25,866.76,874.89,0.0
1996-11-08,876.11,885.68,876.11,884.64,0.0
1996-11-10,885.21,886.84,878.57,880.36,0.0
1996-11-11,879.28,895.64,876.83,891.27,0.0
1996-11-13,895.98,898.54,889.47,896.84,0.0
1996-11-14,895.67,897.92,885.21,889.39,0.0
1996-11-15,888.58,894.62,885.62,894.31,0.0
1996-11-18,893.95,904.89,893.95,904.05,0.0
1996-11-19,904.5,905.61,895.86,897.58,0.0
1996-11-20,897.99,897.99,875.36,876.61,0.0
1996-11-21,876.36,878.26,866.97,869.82,0.0
1996-11-22,867.82,868.18,848.13,850.33,0.0
1996-11-25,850.24,859.24,826.99,852.26,0.0
1996-11-26,856.31,870.84,847.6,855.48,0.0
1996-11-27,848.17,848.21,822.17,829.08,0.0
1996-11-28,829.28,835.15,823.26,825.47,0.0
1996-11-29,825.59,833.81,825.59,830.32,0.0
1996-12-02,830.48,834.92,818.61,820.25,0.0
1996-12-03,819.77,819.77,804.46,809.43,0.0
1996-12-04,805.4,805.82,775.43,788.15,0.0
1996-12-05,786.37,808.21,781.54,802.23,0.0
1996-12-06,805.51,815.03,805.47,808.19,0.0
1996-12-09,809.03,816.2,804.97,808.69,0.0
1996-12-10,807.73,808.53,797.66,803.2,0.0
1996-12-11,806.46,839.13,803.68,837.07,0.0
1996-12-12,838.86,847.36,825.52,827.25,0.0
1996-12-13,826.54,826.54,814.89,824.62,0.0
1996-12-16,823.71,848.88,823.71,847.27,0.0
1996-12-17,846.06,853.36,841.0,850.74,0.0
1996-12-18,850.69,871.84,850.69,860.4,0.0
1996-12-19,858.03,864.54,853.47,860.58,0.0
1996-12-20,864.25,887.92,864.25,884.38,0.0
1996-12-23,884.4,890.65,878.1,882.0,0.0
1996-12-24,881.85,887.5,874.05,884.05,0.0
1996-12-26,887.95,913.35,887.95,911.8,0.0
1996-12-31,918.15,922.1,895.6,899.1,0.0
1997-01-01,905.2,941.4,905.2,939.55,38950000.0
1997-01-02,941.95,944.0,925.05,927.05,49120000.0
1997-01-03,924.3,932.6,919.55,931.65,35260000.0
1997-01-06,932.45,937.95,925.65,927.8,26320000.0
1997-01-07,926.35,935.15,922.25,928.8,44470000.0
1997-01-08,937.35,953.1,937.35,946.7,49520000.0
1997-01-09,945.15,959.75,943.6,956.6,39570000.0
1997-01-10,962.7,984.1,962.7,980.35,52000000.0
1997-01-13,978.55,982.25,965.5,980.7,40190000.0
1997-01-14,984.0,994.4,977.7,989.3,49910000.0
1997-01-15,997.5,1042.75,997.05,1041.8,53370000.0
1997-01-16,1064.05,1085.75,995.35,1009.4,77690000.0
1997-01-17,994.1,1009.7,976.35,1001.75,68740000.0
1997-01-20,1004.1,1005.55,973.95,977.0,48110000.0
1997-01-21,972.1,980.2,956.45,960.5,51640000.0
1997-01-22,971.4,992.9,971.4,987.1,51950000.0
1997-01-24,991.05,991.4,979.55,985.9,49860000.0
1997-01-27,993.15,1017.3,990.3,1009.15,63130000.0
1997-01-28,1016.0,1025.1,1007.95,1021.8,54180000.0
1997-01-29,1038.1,1043.9,1007.1,1017.2,69070000.0
1997-01-30,1010.6,1012.85,993.5,1000.0,61830000.0
1997-01-31,988.7,988.7,965.85,972.65,59790000.0
1997-02-03,967.9,967.9,944.2,948.2,53190000.0
1997-02-04,947.0,963.2,944.45,958.3,55620000.0
1997-02-05,970.75,984.8,959.5,962.5,44920000.0
1997-02-06,960.75,972.4,953.95,967.75,49660000.0
1997-02-07,969.5,980.95,966.5,978.8,47450000.0
1997-02-10,981.0,986.75,975.15,981.45,45820000.0
1997-02-11,980.95,996.05,978.85,992.75,40530000.0
1997-02-12,991.65,1008.8,990.9,1001.0,47170000.0
1997-02-13,998.45,1005.1,995.35,1002.15,31740000.0
1997-02-14,1001.3,1011.85,1001.1,1009.45,33070000.0
1997-02-17,1017.75,1024.3,1015.1,1020.1,44420000.0
1997-02-18,1020.75,1020.85,998.9,1000.75,47720000.0
1997-02-19,1004.05,1013.05,993.85,1011.85,47330000.0
1997-02-20,1009.55,1009.6,1000.55,1003.1,37450000.0
1997-02-21,1000.75,1002.0,989.5,991.55,34240000.0
1997-02-24,988.7,988.9,961.95,964.75,41020000.0
1997-02-25,962.6,975.25,954.5,966.1,53380000.0
1997-02-26,963.95,970.5,956.75,968.85,37930000.0
1997-02-27,972.35,994.5,972.05,992.75,43870000.0
1997-02-28,998.25,1006.6,996.0,998.65,62990000.0
1997-03-01,1070.8,1106.6,1070.8,1102.95,60590000.0
1997-03-03,1102.45,1140.65,1095.9,1107.7,64400000.00000001
1997-03-04,1111.75,1121.4,1098.2,1117.3,55910000.0
1997-03-05,1144.25,1167.95,1122.25,1132.9,72360000.0
1997-03-06,1127.0,1135.75,1119.3,1127.25,49300000.0
1997-03-10,1118.8,1118.8,1075.05,1078.7,50440000.0
1997-03-11,1073.8,1083.35,1046.3,1052.0,60260000.0
1997-03-12,1066.55,1088.65,1065.25,1074.2,48950000.0
1997-03-13,1076.85,1078.6,1062.7,1066.5,34830000.0
1997-03-14,1062.2,1076.65,1057.55,1070.1,60180000.0
1997-03-17,1071.95,1076.25,1065.45,1072.6,48970000.0
1997-03-18,1072.3,1074.5,1061.05,1064.35,53280000.0
1997-03-19,1074.25,1079.6,1050.0,1052.05,42510000.0
1997-03-20,1049.0,1059.5,1040.95,1054.8,58860000.0
1997-03-21,1058.7,1069.5,1058.55,1061.4,42520000.0
1997-03-25,1064.5,1067.25,1054.5,1058.35,39650000.0
1997-03-26,1062.5,1067.2,1057.5,1059.2,36190000.0
1997-03-27,1057.45,1059.0,1047.7,1057.8,28290000.0
1997-03-31,1012.15,1012.15,966.8,968.3,6630000.0
1997-04-01,931.95,973.85,931.5,970.15,43680000.0
1997-04-02,982.1,1004.65,982.1,1002.2,34670000.0
1997-04-03,1004.3,1012.75,1000.55,1010.65,30300000.0
1997-04-04,1001.9,1002.0,996.6,1001.0,19920000.0
1997-04-07,997.5,998.0,988.0,990.9,22270000.0
1997-04-09,1009.95,1031.15,1009.95,1030.3,32980000.0
1997-04-10,1024.45,1024.7,1000.3,1008.35,49310000.0
1997-04-11,993.3,1017.2,985.65,1013.4,45470000.0
1997-04-12,1004.9,1009.9,999.3,1003.25,24800000.0
1997-04-15,1010.65,1018.6,1010.65,1014.9,35730000.0
1997-04-17,1020.4,1036.15,1018.25,1035.2,41260000.0
1997-04-21,1041.45,1061.8,1041.25,1060.6,44880000.0
1997-04-22,1066.7,1073.9,1056.4,1059.8,54750000.0
1997-04-23,1065.95,1078.05,1063.85,1071.05,45200000.0
1997-04-24,1071.4,1075.9,1063.3,1067.2,33620000.0
1997-04-25,1065.4,1071.05,1062.95,1069.4,33850000.0
1997-04-28,1068.6,1070.7,1061.2,1065.4,34440000.0
1997-04-29,1063.6,1065.4,1052.8,1057.45,34580000.0
1997-04-30,1081.1,1088.4,1075.95,1079.85,39890000.0
1997-05-02,1074.7,1074.7,1063.75,1069.0,28800000.0
1997-05-05,1061.8,1061.8,1043.55,1045.5,37240000.0
1997-05-06,1045.8,1050.55,1038.75,1048.4,37310000.0
1997-05-07,1053.1,1055.05,1042.55,1044.4,33410000.0
1997-05-08,1043.7,1055.4,1039.8,1054.05,26530000.0
1997-05-09,1054.6,1063.0,1048.05,1053.35,29140000.0
1997-05-12,1052.8,1056.5,1039.05,1040.5,30570000.0
1997-05-13,1041.05,1042.25,1027.5,1031.05,32120000.0
1997-05-14,1030.35,1044.15,1018.15,1041.65,44970000.0
1997-05-15,1041.65,1049.0,1036.25,1045.0,41610000.0
1997-05-16,1043.4,1049.75,1041.1,1048.4,37270000.0
1997-05-19,1052.2,1059.25,1048.05,1050.8,43800000.0
1997-05-20,1051.55,1053.25,1045.3,1050.85,31740000.0
1997-05-21,1047.5,1049.7,1040.55,1042.0,37030000.0
1997-05-22,1042.45,1043.8,1034.35,1037.2,32620000.0
1997-05-23,1037.0,1039.0,1028.75,1033.7,37950000.0
1997-05-26,1032.15,1035.8,1025.5,1026.9,25030000.0
1997-05-27,1027.5,1031.5,1023.45,1025.7,37220000.0
1997-05-28,1032.5,1035.35,1024.55,1027.0,30930000.0
1997-05-29,1024.75,1040.05,1023.8,1038.2,40840000.0
1997-05-30,1039.85,1051.2,1038.3,1050.9,46860000.0
1997-06-02,1053.05,1066.15,1051.05,1064.95,45580000.0
1997-06-03,1067.65,1081.75,1067.55,1073.75,55250000.0
1997-06-04,1081.55,1090.95,1078.8,1085.75,42310000.0
1997-06-05,1089.85,1095.5,1082.85,1086.6,50590000.0
1997-06-06,1087.5,1091.05,1081.3,1082.75,37100000.0
1997-06-09,1082.95,1082.95,1071.55,1074.65,38200000.0
1997-06-10,1075.3,1084.15,1075.2,1081.1,39960000.0
1997-06-11,1090.45,1108.95,1090.45,1104.6,47360000.0
1997-06-12,1106.1,1122.2,1105.75,1120.7,48100000.0
1997-06-13,1124.95,1147.5,1122.75,1136.3,70400000.0
1997-06-16,1135.3,1141.05,1121.85,1129.7,49680000.0
1997-06-17,1134.9,1145.8,1127.15,1138.8,56460000.0
1997-06-18,1162.2,1171.0,1156.05,1159.8,55270000.0
1997-06-19,1151.95,1161.7,1145.35,1159.8,61700000.0
1997-06-20,1162.7,1174.15,1154.3,1158.35,72300000.0
1997-06-23,1159.6,1163.0,1149.3,1153.7,48520000.0
1997-06-24,1154.95,1161.95,1146.85,1155.3,42540000.0
1997-06-25,1166.1,1175.0,1158.9,1161.9,53340000.0
1997-06-26,1164.0,1177.6,1160.25,1168.2,80960000.0
1997-06-27,1168.3,1174.75,1165.95,1169.65,44360000.0
1997-06-30,1167.45,1194.75,1164.5,1192.4,48360000.0
1997-07-01,1201.3,1206.1,1193.55,1200.45,64489999.99999999
1997-07-02,1214.7,1237.05,1212.6,1222.95,66340000.0
1997-07-03,1222.45,1235.45,1209.45,1214.9,54580000.0
1997-07-04,1218.95,1222.6,1209.45,1216.1,53070000.0
1997-07-07,1217.4,1226.6,1208.25,1209.7,50910000.0
1997-07-08,1205.1,1205.8,1193.35,1198.25,48810000.0
1997-07-09,1211.6,1239.55,1211.6,1236.55,55540000.0
1997-07-10,1248.1,1252.7,1234.95,1239.15,53760000.0
1997-07-11,1233.5,1233.5,1217.0,1221.1,43430000.0
1997-07-14,1212.4,1215.6,1176.6,1187.05,65040000.00000001
1997-07-15,1190.5,1195.4,1180.75,1183.35,53410000.0
1997-07-16,1195.55,1207.0,1179.25,1183.0,58670000.0
1997-07-17,1182.85,1185.3,1173.0,1181.4,57650000.0
1997-07-21,1171.35,1171.35,1153.75,1165.0,41900000.0
1997-07-22,1169.55,1176.4,1165.15,1173.25,45720000.0
1997-07-23,1184.05,1201.75,1183.9,1200.7,53160000.0
1997-07-24,1204.35,1213.4,1195.2,1199.95,52900000.0
1997-07-25,1194.75,1195.95,1179.0,1185.05,49250000.0
1997-07-28,1185.25,1187.85,1176.95,1181.65,39620000.0
1997-07-29,1182.6,1190.55,1180.1,1190.3,45250000.0
1997-07-30,1196.65,1205.8,1195.85,1197.9,41310000.0
1997-07-31,1203.95,1224.7,1201.85,1221.5,56420000.0
1997-08-01,1224.4,1233.85,1219.9,1232.4,60690000.0
1997-08-04,1238.75,1254.5,1237.95,1250.4,57180000.0
1997-08-05,1250.5,1275.45,1249.7,1273.15,56500000.0
1997-08-06,1273.65,1297.1,1273.65,1292.95,10630000.0
1997-08-07,1292.8,1292.8,1259.05,1269.65,55760000.0
1997-08-08,1269.55,1269.55,1253.2,1256.95,34350000.0
1997-08-11,1256.85,1260.0,1247.65,1258.35,40340000.0
1997-08-12,1258.5,1272.0,1243.95,1248.45,50210000.0
1997-08-13,1248.3,1251.4,1240.9,1244.6,28310000.0
1997-08-14,1244.4,1245.8,1226.1,1227.9,30420000.0
1997-08-18,1228.4,1228.45,1198.75,1201.45,29110000.0
1997-08-19,1201.5,1203.15,1177.1,1180.7,42450000.0
1997-08-20,1179.55,1200.25,1178.65,1198.2,38300000.0
1997-08-21,1198.8,1212.15,1179.3,1181.5,39210000.0
1997-08-22,1181.55,1181.6,1158.45,1160.45,41580000.0
1997-08-25,1160.4,1160.4,1119.65,1144.3,53760000.0
1997-08-26,1144.55,1160.45,1144.05,1151.75,45300000.0
1997-08-27,1152.4,1184.85,1152.4,1168.4,41330000.0
1997-08-28,1168.4,1168.4,1132.25,1134.65,48030000.0
1997-08-29,1134.2,1134.2,1098.9,1105.0,66420000.0
1997-09-01,1105.45,1115.0,1097.95,1104.7,48040000.0
1997-09-02,1104.9,1125.85,1102.45,1117.15,53380000.0
1997-09-03,1118.45,1145.4,1118.45,1134.7,54910000.0
1997-09-04,1134.3,1138.8,1123.7,1137.15,42320000.0
1997-09-05,1137.2,1152.3,1137.2,1149.25,49760000.0
1997-09-08,1148.7,1160.85,1136.85,1158.25,36170000.0
1997-09-09,1158.3,1168.35,1154.95,1159.55,45640000.0
1997-09-10,1159.0,1159.0,1143.95,1154.55,36390000.0
1997-09-11,1154.6,1163.3,1152.55,1154.3,39300000.0
1997-09-12,1154.2,1154.2,1138.25,1142.85,33310000.000000004
1997-09-15,1142.75,1143.35,1136.3,1141.0,26850000.0
